1;"footer_text";"The Manor house is a XVII century listed building, with 3 independent apartments, placed in the oldest part of Porto in the heart of the historical center that has just been classified as world heritage. Belonging to my family since the XIX century, it has been recently restored. Placed in a strategic position, it has great views over the river Douro, and it takes only 5 minutes walking to downtown or to the river front, which is a magic place where it is still possible to feel the mood of the romantic XIX century sea port.The street where the house is located, one of the oldest street in Porto, is very quiet with almost no traffic.";"La bâtisse construite au XVII siècle est divisée en trois appartements indépendants et se situe au coeur du quartier le plus ancien de Porto, qui a été récemment classée au patrimoine de l’humanité La maison appartient à notre famille depuis le XIX siècle, et a été récemment entièrement rénovée
Placé de façon privilégiée, vous pourrez admirer la vue imprenable sur le Douro. Vous vous trouverez à 5 minutes à pied du centre-ville ou du fleuve, qui reste un endroit magique ou on peut encore ressentir l’atmosphère du port tel qu'il vivait au XIX siècle.
La rue ou se situe la maison est une des plus ancienne rue de Porto, et est très calme avec quasiment aucun trafic.";"blàblö";"Gebäude aus dem 17 Jahrhundert, es ist jetzt in drei independante Wohnungen aufgeteilt.  Es liegt  im Herzen den ältesten Porto. Diese Stadt wurde von kurzen in das Weltkurturerbe eingestuft. Das Gebäude gehört unserer Familie seit dem 19 Jahrhundert und wurde kürzlich ganz renoviert. Legen Sie sich in einen privilegierten Ort. Genießen Sie den uneinnehmbaren Blick Über des Douro; Sie finden sie sich 5 Minuten zu Fuß von der Innerstadt oder von den Fluss, der bleibt ein magischer Ort, da kann man noch die Atmosphäre des Hafen fühlen wie er im 19 Jahrhundert lebte. Die Straße wo das Gebäude steht ist eine des ältesten in Porto. Sie ist sehr still und ruhig, mit praktisch ohne Verkehr.";"espagnol"
2;"apartment";"Apartment";"Appartement";;"Wohnung";
3;"bedrooms";"Bedrooms";"Chambres";;"Zimmer";
4;"sleeps";"Sleeps";"Nombre de personnes";;"Anzahl den Personen";
6;"per_night";"per night";"par nuit";;"pro Nacht";
7;"per_week";"per week";"par semaine";;"pro Woche";
8;"bathroom";"Bathroom";"Salle de bain";;"Bade Zimmer";
9;"rates";"Rates";"Tarifs";;"Preise";
10;"minimum_stay";"Minimum stay (nights)";"Séjour minimum (nuits)";;"Mindestaufenthalt";
11;"description";"Description";"Description";;"Beschreibung";
12;"accomodation";"Accomodation";"Equipements";;"Einrichtung";
